Fecha Último Apert.  Dif. Máx. Mín. Volumen
23/9/13 443.25 448.08 -1.9  450.21 442.65 1165306
20/9/13 451.66 449.2 0.5  451.87 447.81 3386890
19/9/13 449.2 453 -0.5  453 447.72 1051426
18/9/13 451.66 443.18 1.9  451.98 441.61 1254860
17/9/13 443.06 443.71 -0.2  444.05 440.5 674002
16/9/13 443.88 448.1 -0.1  448.5 442.49 1015844
13/9/13 444.12 447.25 -0.6  447.79 442.5 762358
12/9/13 446.65 448.7 -0.3  448.75 445.04 619438
11/9/13 448.1 444.27 0.8  448.15 443.04 813232
10/9/13 444.34 445.01 0.1  445.89 442.02 693406
9/9/13 443.94 441.87 0.9  444.87 441.21 695514
6/9/13 439.79 441.22 0.0  441.85 436.96 989986
5/9/13 439.78 436.75 0.9  439.9 436.04 763366
4/9/13 435.93 430.18 1.3  436.75 427.6 1002408
3/9/13 430.19 427.03 1.6  432.46 427.03 1296858
30/8/13 423.45 427.88 -1.0  429.02 422.79 1211074
29/8/13 427.57 424.54 0.8  430.14 424.3 765256
28/8/13 424.28 425.13 -0.2  427.65 423.95 786790
27/8/13 425.08 429.38 -1.9  431.85 423.96 968742
26/8/13 433.2 435 -0.4  437.42 433.1 638266
23/8/13 435.11 438.92 -0.4  438.92 434.88 653278
22/8/13 436.86 436.13 0.5  437.38 435.13 578182
21/8/13 434.67 435.64 0.5  438.45 433.32 856572
20/8/13 432.71 434.5 -0.0  436.06 431.93 607488
19/8/13 432.83 428.86 1.1  435.99 428.75 1139850
16/8/13 428.27 430.64 -0.4  431.22 428.27 1130880
15/8/13 429.78 432.22 -1.2  432.43 429.45 1062626
14/8/13 434.91 439.19 -1.3  439.99 433.61 1136648
13/8/13 440.63 443.42 -0.5  444.24 438.18 717980
12/8/13 442.76 443.25 -0.6  443.5 440.83 688580
9/8/13 445.21 445.28 -0.3  447.75 445.05 670800
8/8/13 446.33 447.75 0.2  447.89 442.68 928540
7/8/13 445.33 447.52 -0.7  449.19 444.6 778502
6/8/13 448.29 452.35 -0.9  454.72 448 906526
5/8/13 452.5 452.7 -0.2  452.7 449.64 783398
2/8/13 450.9 451.72 -0.3  453.38 450.41 341690
1/8/13 452.11 447.5 1.9  452.11 447.5 1267496
31/7/13 443.8 446.5 -0.4  448.24 443.1 1217874
30/7/13 445.46 442.53 1.0  447.8 440.44 951088
29/7/13 441.14 442.45 -0.3  447.29 440.47 988428
26/7/13 442.68 443.5 -0.3  444.98 441.07 1057510
25/7/13 443.85 446.94 -1.7  448.27 443.06 1741498
24/7/13 451.45 453.63 -0.1  455.12 450.41 819372
23/7/13 451.9 455.35 -0.8  456.5 449.83 852220
22/7/13 455.35 451.18 1.5  456.34 448.5 1797232
19/7/13 448.56 443.31 -1.5  451.48 437.82 3947738
18/7/13 455.34 459.5 -0.9  460 451.67 1879654
17/7/13 459.28 460.5 -0.1  463.36 458.3 719122
16/7/13 459.75 463.57 -0.6  463.89 456.95 966076
15/7/13 462.35 462.15 0.2  464 458.21 1214802
12/7/13 461.5 460 0.4  461.5 457.62 1430348
11/7/13 459.84 456.5 1.5  460.41 454.27 1501040
10/7/13 453 452.51 0.1  455.51 450.27 726780
9/7/13 452.62 455.63 0.0  456.46 449 881516
8/7/13 452.55 449.31 1.3  453.11 448.61 970772
5/7/13 446.75 445.13 0.8  447.69 443.78 787162
3/7/13 443.22 439.95 0.5  444.59 439.48 448508
2/7/13 441.16 445.1 -0.6  445.43 438.67 910224
1/7/13 444.82 443.23 1.1  446 442.58 553626
28/6/13 440.19 437.45 0.4  440.91 437.19 1333898
27/6/13 438.54 439.4 0.4  442.35 438.33 799150
26/6/13 436.83 436.7 0.9  438.93 435.38 872724
25/6/13 433.1 438.63 -0.4  439.84 432.3 1366366
24/6/13 434.62 436.64 -1.3  438.13 431.63 1225654
21/6/13 440.49 444.94 -0.4  444.94 436.6 3189620
20/6/13 442.37 447 -1.8  450.45 441.71 1587962
19/6/13 450.34 450.65 0.0  455.41 448.75 1322064
18/6/13 450.31 444.33 1.6  450.5 444.32 1003722
17/6/13 443.13 439.62 1.3  444.72 439.2 1071794
14/6/13 437.52 440.05 -0.2  442.3 437.09 1058670
13/6/13 438.5 434.49 0.6  439.83 432.79 1021912
12/6/13 435.99 442.73 -0.9  443 434.88 904368
11/6/13 439.91 442.03 -1.2  443.5 439.83 834278
10/6/13 445.3 441.05 1.2  445.49 440.27 1104950
7/6/13 439.87 435.21 1.7  440 432.77 1492968
6/6/13 432.32 432.15 0.6  433.12 423.75 1303164
5/6/13 429.85 431.41 0.1  434.73 428.6 933848
4/6/13 429.55 433.93 -1.0  435.29 427.22 592014
3/6/13 433.82 436.85 -0.3  436.85 427.66 1224954
31/5/13 435.21 434.06 -0.0  438.5 433.76 1223514
